time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
1.131847,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.141011,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.150069,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.161047,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.170051,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.182160,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.189892,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.200000,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.210002,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.220035,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.230439,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.240304,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.250236,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.259987,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.272021,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.279171,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.290868,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.299972,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.310232,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.320001,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.331765,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.339238,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.350009,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.360553,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.369809,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.380039,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.389877,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.400033,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.410003,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.421613,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.429186,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.440852,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.450174,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.459993,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.470015,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.480001,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.491580,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.499988,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.510031,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.520769,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.529984,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.539960,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.550017,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.560128,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.570010,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.580759,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.591721,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.601746,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.609856,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.619998,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.629877,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.640011,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.650729,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.660031,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.670258,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.679985,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.692083,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.699927,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.710624,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.719818,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.729982,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.740127,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.750014,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.759951,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.771993,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.781733,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.789904,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.800855,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.809983,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.819987,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.830685,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.840419,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.849839,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.859794,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.869992,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.880167,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.890740,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.899821,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
